participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,task,"mouse,pen",,mouse,3,5,0,1222,0,0,pen
10,task,"mouse,pen",,pen,3,6,0,783,0,0,mouse
10,task,"mouse,pen",,mouse,3,7,0,759,0,0,pen
10,task,"mouse,pen",,pen,3,8,0,833,0,0,mouse
10,task,"mouse,pen",,mouse,3,9,0,1088,0,0,pen
10,task,"mouse,pen",,pen,3,10,0,724,0,0,mouse
10,task,"mouse,pen",,mouse,3,11,0,741,0,0,pen
10,task,"mouse,pen",,pen,3,12,0,541,0,0,mouse
10,task,"mouse,pen",,mouse,3,13,0,731,0,0,pen
10,task,"mouse,pen",,pen,3,14,0,580,0,0,mouse
10,task,"mouse,pen",,mouse,4,1,0,1003,0,0,pen
10,task,"mouse,pen",,pen,4,2,0,643,0,0,mouse
10,task,"mouse,pen",,mouse,4,3,0,1161,0,0,pen
10,task,"mouse,pen",,pen,4,4,0,691,0,0,mouse
10,task,"mouse,pen",,mouse,4,5,0,936,0,0,pen
10,task,"mouse,pen",,pen,4,6,1,842,1,0,mouse
10,task,"mouse,pen",,mouse,4,7,0,986,0,0,pen
10,task,"mouse,pen",,pen,4,8,1,653,0,1,mouse
10,task,"mouse,pen",,mouse,4,9,0,1462,0,0,pen
10,task,"mouse,pen",,pen,4,10,1,331,0,1,mouse
10,task,"mouse,pen",,mouse,4,11,0,1033,0,0,pen
10,task,"mouse,pen",,pen,4,12,0,1064,0,0,mouse
10,task,"mouse,pen",,mouse,4,13,0,804,0,0,pen
10,task,"mouse,pen",,pen,4,14,0,675,0,0,mouse
10,task,"mouse,touch",,mouse,1,1,1,1521,1,0,touch
10,task,"mouse,touch",,touch,1,2,0,1640,0,0,mouse
10,task,"mouse,touch",,mouse,1,3,0,1314,0,0,touch
10,task,"mouse,touch",,touch,1,4,0,1072,0,0,mouse
10,task,"mouse,touch",,mouse,1,5,0,1765,0,0,touch
10,task,"mouse,touch",,touch,1,6,0,957,0,0,mouse
10,task,"mouse,touch",,mouse,1,7,0,1228,0,0,touch
10,task,"mouse,touch",,touch,1,8,0,925,0,0,mouse
10,task,"mouse,touch",,mouse,1,9,0,1510,0,0,touch
10,task,"mouse,touch",,touch,1,10,0,928,0,0,mouse
10,task,"mouse,touch",,mouse,1,11,0,1333,0,0,touch
10,task,"mouse,touch",,touch,1,12,0,878,0,0,mouse
10,task,"mouse,touch",,mouse,1,13,0,1180,0,0,touch
10,task,"mouse,touch",,touch,1,14,0,992,0,0,mouse
10,task,"mouse,touch",,mouse,2,1,1,1003,1,0,touch
10,task,"mouse,touch",,touch,2,2,0,936,0,0,mouse
10,task,"mouse,touch",,mouse,2,3,0,1935,0,0,touch
10,task,"mouse,touch",,touch,2,4,0,995,0,0,mouse
10,task,"mouse,touch",,mouse,2,5,1,1751,1,0,touch
10,task,"mouse,touch",,touch,2,6,0,1005,0,0,mouse
10,task,"mouse,touch",,mouse,2,7,1,640,0,1,touch
10,task,"mouse,touch",,touch,2,8,0,877,0,0,mouse
10,task,"mouse,touch",,mouse,2,9,0,1513,0,0,touch
10,task,"mouse,touch",,touch,2,10,0,1119,0,0,mouse
10,task,"mouse,touch",,mouse,2,11,0,1389,0,0,touch
10,task,"mouse,touch",,touch,2,12,0,1042,0,0,mouse
10,task,"mouse,touch",,mouse,2,13,0,629,0,0,touch
10,task,"mouse,touch",,touch,2,14,0,1034,0,0,mouse
10,task,"mouse,touch",,mouse,3,1,0,1390,0,0,touch
10,task,"mouse,touch",,touch,3,2,0,807,0,0,mouse
10,task,"mouse,touch",,mouse,3,3,0,1315,0,0,touch
10,task,"mouse,touch",,touch,3,4,0,914,0,0,mouse
10,task,"mouse,touch",,mouse,3,5,0,1508,0,0,touch
10,task,"mouse,touch",,touch,3,6,0,1017,0,0,mouse
10,task,"mouse,touch",,mouse,3,7,0,1029,0,0,touch
10,task,"mouse,touch",,touch,3,8,0,897,0,0,mouse
10,task,"mouse,touch",,mouse,3,9,0,1076,0,0,touch
10,task,"mouse,touch",,touch,3,10,0,1111,0,0,mouse
10,task,"mouse,touch",,mouse,3,11,1,504,1,0,touch
10,task,"mouse,touch",,touch,3,12,0,856,0,0,mouse
10,task,"mouse,touch",,mouse,3,13,0,2219,0,0,touch
10,task,"mouse,touch",,touch,3,14,0,930,0,0,mouse
10,task,"mouse,touch",,mouse,4,1,0,1090,0,0,touch
10,task,"mouse,touch",,touch,4,2,0,822,0,0,mouse
10,task,"mouse,touch",,mouse,4,3,0,1422,0,0,touch
10,task,"mouse,touch",,touch,4,4,0,722,0,0,mouse
10,task,"mouse,touch",,mouse,4,5,0,1297,0,0,touch
10,task,"mouse,touch",,touch,4,6,0,737,0,0,mouse
10,task,"mouse,touch",,mouse,4,7,1,447,0,1,touch
